Country ID,Country,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"GHG total without LULUCF, latest year  
1000 t of
 CO₂ equivalent ",% change since 1990,"GHG emissions per capita,
latest year 
kg of CO₂ equivalent"
108,Burundi,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,...,...,...,"1,995.44",...,...,...,...,...,...,"1,480.91",...,...,...,...,"1,939.17",...,...,...,...,"1,707.29",...,...,...,2015,1707.29,...,0.17
132,Cabo Verde,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,292.92,...,...,...,...,447.66,...,...,...,...,,,,,,,,,,,,,,,2000,447.66,...,1.05
116,Cambodia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"12,762.59",...,...,...,...,...,"24,109.09",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,24109.09,...,1.98
120,Cameroon,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"165,725.02",...,...,...,...,...,"28,939.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,28939.00,...,1.87
124,Canada,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","603,221.87","594,872.98","612,470.51","615,048.51","636,374.33","653,057.98","674,575.22","686,114.63","693,059.08","707,363.77","730,681.59","719,697.17","723,948.36","740,245.80","741,584.48","729,747.17","720,516.11","742,313.66","722,567.97","680,493.57","690,530.62","702,412.98","710,108.30","720,877.45","721,353.74","720,380.18","706,196.41","713,838.21","729,349.27",2018,729349.27,20.91,19.67
140,Central African Republic,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"37,737.00",...,...,...,...,...,...,...,...,"32,263.41","32,278.75","32,295.57","9,756.02","9,777.20","9,782.46","5,201.63","5,225.25",...,...,...,...,...,...,...,...,2010,5225.25,...,1.19
148,Chad,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,"8,021.11",...,...,...,...,"24,245.39","23,065.11","22,880.45","24,406.47","22,584.31","25,714.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,25714.00,...,2.74
152,Chile,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","49,990.20",...,...,"50,171.86","56,201.60",...,...,...,...,...,"74,101.41",...,...,...,...,...,"78,955.19",...,...,...,"89,416.32",...,...,"101,480.59",...,...,"108,800.02",...,...,2016,108800.02,117.64,5.98
156,China,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"4,057,617.00",...,...,...,...,...,...,...,...,...,...,"8,015,000.00",...,...,...,...,"10,543,331.00",...,"11,895,765.00",...,"12,300,200.00",...,...,...,...,2014,12300200.00,...,8.79
170,Colombia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","118,729.57",...,...,...,"137,475.64",...,...,...,...,...,"147,282.17",...,...,...,"153,884.77",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,153884.77,29.61,3.66
174,Comoros,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,512.13,...,...,...,...,...,285.05,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,285.05,...,0.53
