PROVINCIAS,CANTONES,DPA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
EL ORO,ARENILLAS,0702,27870,28436,29002,29566,30129,30690,31250,31809,32365,32920,33473,34025,34575,35124,35671,36216,36759,37299,37837,38372,38902
EL ORO,ATAHUALPA,0703,6088,6133,6175,6216,6254,6290,6323,6355,6384,6411,6436,6459,6480,6500,6517,6533,6547,6559,6569,6577,6584
EL ORO,BALSAS,0704,7100,7302,7507,7714,7923,8135,8350,8567,8786,9008,9233,9460,9689,9921,10157,10394,10634,10876,11121,11368,11617
EL ORO,CHILLA,0705,2608,2589,2569,2548,2526,2503,2480,2455,2430,2405,2379,2353,2326,2299,2271,2243,2215,2187,2158,2129,2100
EL ORO,EL GUABO,0706,51874,53041,54212,55385,56559,57736,58915,60095,61277,62459,63645,64832,66021,67211,68404,69597,70791,71985,73178,74370,75559
EL ORO,HUAQUILLAS,0707,50122,51160,52200,53237,54272,55304,56336,57366,58393,59417,60440,61460,62479,63496,64511,65523,66531,67536,68538,69533,70523
EL ORO,MARCABELI,0708,5678,5744,5808,5871,5932,5991,6048,6103,6157,6209,6259,6308,6356,6401,6445,6488,6529,6568,6606,6642,6677
EL ORO,PASAJE,0709,75700,76962,78213,79451,80674,81883,83079,84262,85430,86583,87723,88851,89966,91066,92154,93228,94288,95333,96361,97373,98367
EL ORO,PIÑAS,0710,27063,27411,27752,28086,28411,28729,29039,29343,29638,29925,30206,30480,30746,31006,31258,31505,31743,31975,32198,32415,32623
EL ORO,PORTOVELO,0711,12711,12859,13005,13146,13284,13417,13547,13673,13795,13913,14028,14139,14247,14351,14451,14549,14642,14733,14819,14902,14981
EL ORO,SANTA ROSA,0712,71818,72922,74013,75089,76148,77191,78218,79231,80227,81206,82171,83121,84057,84977,85882,86773,87647,88506,89347,90170,90975
EL ORO,ZARUMA,0713,25189,25281,25361,25432,25493,25544,25584,25615,25638,25651,25654,25651,25640,25621,25594,25561,25520,25472,25416,25354,25284
EL ORO,LAS LAJAS,0714,5017,5021,5022,5021,5019,5014,5007,4999,4988,4977,4963,4948,4931,4913,4894,4873,4851,4828,4803,4777,4750
ESMERALDAS,ESMERALDAS,0801,196095,198774,201372,203881,206298,208615,210833,212952,214975,216901,218727,220463,222109,223664,225129,226510,227803,229007,230118,231141,232067
ESMERALDAS,ELOY ALFARO,0802,41130,41670,42191,42694,43176,43637,44077,44497,44895,45272,45629,45966,46284,46583,46862,47124,47367,47591,47796,47983,48149
