Country ID,Country,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"GHG total without LULUCF, latest year  
1000 t of
 CO₂ equivalent ",% change since 1990,"GHG emissions per capita,
latest year 
kg of CO₂ equivalent"
478,Mauritania,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,"4,329.86",...,...,...,...,"6,943.85",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,6943.85,...,2.64
480,Mauritius,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,"3,505.57",...,...,...,...,"3,996.22","4,232.05","4,148.89","4,329.32","4,319.23","4,342.16","5,488.04",...,...,...,...,...,...,"6,591.27",...,...,...,...,...,2013,6591.27,...,5.25
484,Mexico,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","404,179.37","416,948.34","417,845.81","424,326.64","449,255.55","437,655.32","458,823.48","480,816.27","504,742.35","493,564.82","525,638.24","517,097.89","513,514.59","523,480.21","552,855.52","561,540.10","581,689.21","610,557.23","643,223.27","623,101.90","638,605.89","650,407.17","647,100.66","605,887.32",...,...,...,...,...,2013,605887.32,49.91,5.10
583,Micronesia (Federated States of),"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,246.01,...,...,...,...,...,173.93,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,173.93,...,1.62
492,Monaco,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",102.74,103.56,109.17,108.13,108.87,105.59,109.91,108.02,107.24,108.20,109.07,106.94,107.24,104.54,100.09,98.69,92.72,92.63,93.36,91.05,87.89,85.57,87.56,90.29,84.81,85.76,86.53,85.52,86.93,2018,86.93,-15.39,2.25
496,Mongolia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","19,317.40","17,680.30","16,005.30","15,223.60","14,345.00","14,251.50","15,299.20","15,925.30","15,929.70",...,...,...,...,...,...,...,"17,710.95",...,...,...,...,...,...,...,...,...,...,...,...,2006,17710.95,-8.32,6.92
499,Montenegro,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","5,706.30","6,540.17","4,564.26","3,329.86","2,215.30","1,406.29","4,431.93","4,303.56","4,703.40","4,760.97","5,605.98","5,196.93","5,689.96","4,856.03","4,842.96","4,510.42","4,643.92","4,655.01","4,365.87","3,084.51","4,024.82","3,863.59",...,...,...,...,...,...,...,2011,3863.59,-32.29,6.18
504,Morocco,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"44,394.00",...,...,...,...,...,"59,699.69",...,...,...,"71,387.70","74,681.60","76,369.40",...,"85,287.90",...,"100,516.44",...,"96,108.05",...,...,...,...,...,...,2012,96108.05,...,2.89
508,Mozambique,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","6,783.15",...,...,...,"8,223.89",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,8223.89,21.24,0.55
104,Myanmar,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,...,...,...,...,...,...,"33,995.69","34,125.14","34,774.81","36,134.45","37,542.13","38,374.90",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,38374.90,...,0.78
516,Namibia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"5,602.09",...,...,...,...,...,"9,085.80",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,9085.80,...,5.06
520,Nauru,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,35.90,...,...,...,...,...,19.29,...,...,41.50,...,...,...,22.60,...,...,42.19,...,...,...,...,...,...,...,...,2010,42.19,...,4.21
